"Naravni viri po: LETO, STATISTIČNA REGIJA , KAZALNIK"

" ";" ";"Poraba vode, dobavljene iz javnega vodovoda, v gospodinjstvih na prebivalca (m3/prebivalca)";"Komunalni odpadki, zbrani z javnim odvozom odpadkov na prebivalca (kilogram/prebivalca)";"Število vseh osebnih avtomobilov na 1.000 prebivalcev (število/1.000 prebivalcev)"
"2005";"Pomurska";26.5;260;432
" ";"Podravska";37.8;412;452
" ";"Koroška";30.1;359;445
" ";"Savinjska";40.8;392;458
" ";"Zasavska";35.4;347;422
" ";"Posavska";37.9;375;465
" ";"Jugovzhodna Slovenija";39.0;304;464
" ";"Osrednjeslovenska";51.7;426;508
" ";"Gorenjska";50.4;408;479
" ";"Primorsko-notranjska";35.4;422;496
" ";"Goriška";41.9;467;536
" ";"Obalno-kraška";43.6;492;541
"2006";"Pomurska";27.0;289;442
" ";"Podravska";38.7;444;462
" ";"Koroška";30.6;369;455
" ";"Savinjska";41.5;376;467
" ";"Zasavska";34.7;381;430
" ";"Posavska";38.1;392;475
" ";"Jugovzhodna Slovenija";35.7;349;470
" ";"Osrednjeslovenska";53.2;439;514
" ";"Gorenjska";50.3;424;486
" ";"Primorsko-notranjska";34.9;410;506
" ";"Goriška";43.0;495;545
" ";"Obalno-kraška";44.9;483;549
"2007";"Pomurska";29.4;446;457
" ";"Podravska";34.2;401;476
" ";"Koroška";29.0;376;467
" ";"Savinjska";53.6;395;481
" ";"Zasavska";34.7;405;445
" ";"Posavska";34.6;413;489
" ";"Jugovzhodna Slovenija";39.0;349;483
" ";"Osrednjeslovenska";52.8;430;527
" ";"Gorenjska";48.8;430;498
" ";"Primorsko-notranjska";36.6;420;518
" ";"Goriška";51.0;499;556
" ";"Obalno-kraška";35.2;478;558
"2008";"Pomurska";37.0;405;478
" ";"Podravska";45.0;385;489
" ";"Koroška";32.0;361;488
" ";"Savinjska";43.0;408;502
" ";"Zasavska";35.0;401;463
" ";"Posavska";20.0;397;510
" ";"Jugovzhodna Slovenija";39.0;357;502
" ";"Osrednjeslovenska";52.0;438;529
" ";"Gorenjska";50.0;415;512
" ";"Primorsko-notranjska";34.0;441;537
" ";"Goriška";43.0;481;577
" ";"Obalno-kraška";42.0;478;570
"2009";"Pomurska";29.4;397;484
" ";"Podravska";37.6;396;494
" ";"Koroška";30.8;348;490
" ";"Savinjska";40.0;362;506
" ";"Zasavska";34.2;362;468
" ";"Posavska";33.8;402;518
" ";"Jugovzhodna Slovenija";38.0;336;506
" ";"Osrednjeslovenska";50.7;444;528
" ";"Gorenjska";50.0;430;517
" ";"Primorsko-notranjska";37.7;209;542
" ";"Goriška";42.7;474;581
" ";"Obalno-kraška";36.1;460;569
"2010";"Pomurska";27.0;313;490
" ";"Podravska";36.0;387;494
" ";"Koroška";30.4;342;494
" ";"Savinjska";36.5;371;510
" ";"Zasavska";34.0;374;469
" ";"Posavska";33.3;402;521
" ";"Jugovzhodna Slovenija";32.6;341;510
" ";"Osrednjeslovenska";57.0;419;524
" ";"Gorenjska";41.6;357;518
" ";"Primorsko-notranjska";37.1;351;545
" ";"Goriška";36.9;158;580
" ";"Obalno-kraška";39.7;463;569
"2011";"Pomurska";29.5;285;496
" ";"Podravska";35.9;328;496
" ";"Koroška";30.3;318;500
" ";"Savinjska";42.2;336;513
" ";"Zasavska";33.5;338;468
" ";"Posavska";34.4;382;525
" ";"Jugovzhodna Slovenija";38.6;303;515
" ";"Osrednjeslovenska";47.6;398;521
" ";"Gorenjska";43.2;313;518
" ";"Primorsko-notranjska";38.0;313;550
" ";"Goriška";42.2;411;580
" ";"Obalno-kraška";40.9;401;568
"2012";"Pomurska";29.4;271;501
" ";"Podravska";35.3;316;497
" ";"Koroška";22.9;266;503
" ";"Savinjska";47.1;296;513
" ";"Zasavska";30.2;323;470
" ";"Posavska";31.2;310;525
" ";"Jugovzhodna Slovenija";40.0;270;517
" ";"Osrednjeslovenska";42.9;375;516
" ";"Gorenjska";51.2;302;517
" ";"Primorsko-notranjska";42.7;296;555
" ";"Goriška";47.2;378;577
" ";"Obalno-kraška";49.0;386;563
"2013";"Pomurska";28.8;278;504
" ";"Podravska";39.4;312;496
" ";"Koroška";29.1;233;507
" ";"Savinjska";42.8;288;512
" ";"Zasavska";35.0;312;469
" ";"Posavska";31.7;322;529
" ";"Jugovzhodna Slovenija";29.5;266;517
" ";"Osrednjeslovenska";36.8;366;510
" ";"Gorenjska";48.4;299;516
" ";"Primorsko-notranjska";39.3;297;553
" ";"Goriška";52.1;355;577
" ";"Obalno-kraška";28.8;384;558
"2014";"Pomurska";29.3;289;509
" ";"Podravska";35.4;321;500
" ";"Koroška";31.2;240;511
" ";"Savinjska";39.2;291;526
" ";"Zasavska";26.1;337;349
" ";"Posavska";32.9;325;493
" ";"Jugovzhodna Slovenija";33.6;271;523
" ";"Osrednjeslovenska";40.6;350;522
" ";"Gorenjska";40.9;317;518
" ";"Primorsko-notranjska";33.6;327;555
" ";"Goriška";51.8;357;579
" ";"Obalno-kraška";41.5;394;559
"2015";"Pomurska";29.8;288;513
" ";"Podravska";35.6;303;508
" ";"Koroška";29.8;247;513
" ";"Savinjska";40.6;297;515
" ";"Zasavska";19.0;235;482
" ";"Posavska";23.2;338;536
" ";"Jugovzhodna Slovenija";35.1;269;527
" ";"Osrednjeslovenska";41.7;355;517
" ";"Gorenjska";51.3;297;521
" ";"Primorsko-notranjska";35.5;313;558
" ";"Goriška";40.5;345;580
" ";"Obalno-kraška";33.8;359;561

"Vir: Statistični urad Republike Slovenije."

"Podatki so teritorialno razvrščeni po Klasifikaciji statističnih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. Opombe o spremembah posameznih regij so "
"zapisane k vsaki spremenjeni regiji in so ob izpisu tabele na zaslon "
"dostopne s klikom na ikono za opombe (zvezdica). V opombah je na "
"začetku naveden datum, s katerim je opisana teritorialna sprememba "
"upoštevana pri teritorialnem razvrščanju enot za statistične namene."

"Vira: Statistični urad Republike Slovenije, Ministrstvo za okolje in "
"prostor. "
" "
"Podrobnejši podatki o vodi, dobavljeni iz javnega vodovoda so "
"objavljeni na SI-STAT podatkovnem portalu v področju (seznam "
"HREF=http://pxweb.stat.si/pxweb/Database/Okolje/27_okolje/03_27193_vo-"
"da/01_27501_javni_vodovod/01_27501_javni_vodovod.asp TARGET=_blank)  "
"Okolje – Voda – javni vodovod."

"Vir: Ministrstvo za okolje in prostor, preračuni Statistični urad "
"Republike Slovenije. "
" "
"Kazalnik se razlikuje od kazalnika na državni ravni. "
" "
"Podrobnejši podatki o komunalnih odpadkih so objavljeni na SI-STAT "
"podatkovnem portalu v področju (seznam "
"HREF=http://pxweb.stat.si/pxweb/Database/Okolje/27_okolje/02_Odpadki/-"
"01_27061_odvoz_odpadkov/01_27061_odvoz_odpadkov.asp TARGET=_blank)  "
"Okolje – Odpadki – Komunalni odpadki."

"Na dan 31.12. "
" "
"Vira: Statistični Urad Republike Slovenije, Ministrstvo za "
"infrastrukturo. "
" "
"Kazalnik se nekoliko razlikuje od kazalnika na državni ravni. "
" "
"Podrobnejši podatki o registriranih cestnih vozilih so objavljeni na "
